EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,474194.900,750000.100,467270.900,617912.300,750000.100,750000.100,0.000
643231.000,750000.100,353889.700,588237.800,-198364.700,287420.800,750000.100,687447.500,0.000
613571.100,750000.100,320687.700,596876.600,-457103.600,268926.900,750000.100,615949.900,0.000
606689.300,750000.100,293519.400,699730.700,-667676.300,342262.400,750000.100,665507.700,0.000
606891.600,627438.300,474526.100,729422.300,-750000.100,451771.100,750000.100,750000.100,0.000
750000.100,551466.600,648657.900,750000.100,-313334.100,579812.100,750000.100,750000.100,0.000
750000.100,750000.100,681739.300,750000.100,750000.100,614006.800,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,736973.600,750000.100,750000.100,711778.200,0.000
644780.200,639712.700,750000.100,750000.100,614350.500,661372.900,660490.600,593374.400,0.000
547442.500,543050.500,750000.100,750000.100,521664.800,561318.700,560992.100,503875.700,0.000
470322.700,466439.400,674361.400,694412.300,448204.300,481991.300,482160.200,432885.600,0.000
407057.400,403459.800,583256.100,600854.400,387855.100,416916.300,417472.200,374606.200,0.000
354239.000,350842.000,507207.300,522702.800,337410.000,362572.800,363521.100,326058.800,0.000
309908.100,307006.700,443412.300,457048.300,295326.800,317246.300,318138.600,285362.500,0.000
274653.700,272138.200,392773.200,405090.900,261754.700,281241.700,281958.100,252815.100,0.000
257073.800,254636.800,367526.300,379155.400,245048.300,263204.000,263969.500,236647.200,0.000
249307.300,246937.200,356343.500,367620.200,237666.200,255208.700,255994.900,229486.600,0.000
242537.500,240225.800,346612.600,357643.900,231216.600,248276.000,249064.500,223241.000,0.000
236308.500,234055.200,337670.800,348458.000,225282.300,241907.100,242681.300,217501.700,0.000
230548.200,228353.400,329416.000,339965.900,219793.700,236021.300,236771.200,212201.400,0.000
225224.500,223078.400,321784.800,332107.800,214716.000,230572.300,231295.300,207300.200,0.000
220298.100,218196.000,314721.300,324822.400,210017.700,225536.700,226226.200,202757.700,0.000
215730.200,213670.300,308170.500,318048.300,205655.000,220868.500,221525.300,198548.700,0.000
211461.500,209442.100,302053.400,311732.400,201572.000,216504.400,217127.200,194610.200,0.000
207501.600,205521.300,296372.900,305860.500,197792.200,212456.600,213044.000,190955.300,0.000
203807.100,201863.600,291073.900,300382.700,194269.800,208676.400,209237.500,187548.800,0.000
200346.700,198440.900,286113.800,295253.900,190968.800,205132.100,205674.500,184361.800,0.000
197108.800,195240.200,281470.400,290454.300,187884.800,201820.000,202345.400,181387.700,0.000
194064.700,192228.900,277105.600,285943.600,184985.200,198706.800,199208.700,178580.300,0.000
191236.000,189428.300,273036.300,281740.500,182292.100,195815.700,196299.300,175978.000,0.000
188581.800,186799.300,269214.800,277794.700,179764.000,193100.800,193567.000,173538.100,0.000
186073.800,184318.500,265610.200,274076.100,177379.400,190541.700,190994.900,171236.500,0.000
183715.400,181983.000,262214.900,270575.500,175132.400,188130.400,188569.500,169072.100,0.000
181477.100,179762.800,258995.900,267252.600,172992.700,185840.300,186264.100,167006.100,0.000
179376.700,177683.100,255968.500,264126.900,170985.000,183695.700,184101.300,165066.100,0.000
177386.000,175713.400,253103.900,261173.200,169086.000,181665.900,182058.700,163236.100,0.000
175496.600,173845.000,250392.600,258376.600,167287.100,179733.200,180123.200,161500.900,0.000
173721.300,172087.200,247839.500,255742.100,165594.200,177915.500,178301.400,159871.100,0.000
172040.100,170420.300,245421.100,253250.500,163991.500,176196.600,176575.100,158333.000,0.000
170448.700,168843.100,243130.400,250888.500,162473.500,174568.500,174942.000,156871.800,0.000
168937.300,167345.400,240954.000,248643.600,161030.000,173018.400,173387.900,155478.800,0.000
167516.000,165938.700,238902.500,246528.000,159676.500,171562.400,171928.500,154173.500,0.000
166155.600,164594.300,236945.800,244511.000,158385.300,170174.100,170534.700,152927.000,0.000
164868.600,163323.000,235095.000,242603.700,157166.200,168861.900,169218.400,151752.300,0.000
163643.800,162113.200,233335.900,240789.600,156004.600,167612.400,167967.900,150635.400,0.000
162481.500,160964.900,231660.500,239064.000,154898.600,166423.900,166776.600,149567.900,0.000
161386.300,159880.800,230076.200,237432.100,153856.700,165303.300,165653.500,148562.800,0.000
160340.300,158846.000,228567.400,235877.600,152864.000,164244.100,164586.600,147606.500,0.000
159341.400,157853.800,227126.300,234393.100,151910.600,163212.800,163556.900,146687.300,0.000
158394.800,156914.800,225757.600,232982.600,151010.000,162247.600,162588.700,145812.900,0.000
157483.800,156011.600,224444.500,231629.600,150142.000,161313.500,161651.000,144968.400,0.000
