EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
147085.900,145768.300,200064.500,206354.800,140240.800,150295.000,150627.300,135065.000,0.000
146692.200,145377.900,199516.000,205788.300,139865.300,149889.100,150223.300,134702.600,0.000
146309.900,145006.100,198991.200,205247.000,139507.300,149505.300,149836.900,134357.100,0.000
145949.100,144653.200,198490.600,204733.000,139168.300,149142.100,149470.500,134031.000,0.000
145606.300,144314.900,198011.700,204241.200,138841.800,148791.800,149119.600,133716.000,0.000
145274.600,143985.100,197549.600,203766.400,138524.300,148450.000,148777.600,133411.600,0.000
144957.200,143672.000,197108.400,203311.500,138222.000,148124.800,148453.500,133119.700,0.000
144654.200,143375.200,196686.100,202876.900,137934.000,147822.200,148147.200,132841.700,0.000
144365.500,143090.000,196281.900,202462.500,137660.300,147534.400,147855.400,132580.600,0.000
144092.700,142818.400,195898.700,202068.100,137401.300,147253.400,147573.600,132329.400,0.000
143846.700,142574.300,195549.000,201704.900,137169.100,146994.600,147317.200,132102.500,0.000
143605.500,142338.800,195207.800,201354.000,136941.800,146749.400,147071.900,131883.400,0.000
143343.000,142080.800,194850.400,200988.500,136692.100,146485.300,146808.000,131645.300,0.000
143109.600,141851.600,194525.700,200653.800,136468.700,146249.800,146567.600,131429.300,0.000
142887.800,141632.500,194214.000,200333.100,136254.700,146023.800,146339.000,131221.800,0.000
142686.700,141433.000,193925.400,200035.100,136061.600,145819.000,146133.600,131033.900,0.000
142491.600,141238.400,193646.300,199748.200,135876.700,145617.900,145933.400,130855.300,0.000
142301.000,141047.700,193375.700,199469.900,135695.000,145423.800,145737.800,130680.700,0.000
142125.000,140873.700,193123.800,199208.400,135526.500,145243.800,145558.000,130517.300,0.000
141945.200,140693.000,192870.900,198947.100,135352.400,145056.300,145370.900,130352.300,0.000
141770.300,140517.300,192626.100,198694.900,135185.000,144870.800,145189.200,130191.700,0.000
141607.800,140356.200,192396.900,198461.400,135034.100,144707.700,145026.300,130042.900,0.000
141461.900,140213.800,192187.500,198246.000,134898.500,144564.200,144880.000,129909.500,0.000
141314.100,140068.600,191977.600,198030.100,134758.100,144414.100,144728.800,129774.000,0.000
141175.500,139932.100,191777.400,197824.800,134625.300,144274.700,144585.600,129645.900,0.000
141046.400,139802.900,191585.500,197630.000,134497.500,144146.000,144450.300,129525.800,0.000
140913.500,139669.400,191394.400,197435.100,134367.600,144011.800,144312.300,129404.400,0.000
140788.000,139544.000,191215.600,197252.600,134247.500,143880.900,144183.400,129292.800,0.000
140657.700,139416.200,191035.000,197068.000,134125.800,143754.900,144055.300,129176.400,0.000
140549.900,139309.800,190877.900,196907.200,134023.300,143646.700,143946.800,129079.400,0.000
140439.000,139195.300,190716.300,196743.600,133914.000,143527.600,143829.500,128974.600,0.000
140327.700,139082.800,190557.900,196581.500,133805.700,143412.500,143714.200,128872.900,0.000
140225.800,138983.800,190413.000,196432.000,133707.800,143308.900,143610.500,128781.600,0.000
140130.300,138892.000,190276.400,196290.400,133618.300,143214.600,143515.900,128696.800,0.000
140045.600,138809.200,190149.100,196159.600,133539.400,143127.400,143430.300,128621.000,0.000
139960.900,138725.200,190022.900,196031.000,133461.000,143038.600,143344.700,128542.200,0.000
139876.200,138639.700,189896.900,195903.900,133379.200,142947.100,143255.600,128463.400,0.000
139794.600,138559.500,189778.300,195782.000,133300.200,142862.300,143171.300,128389.600,0.000
139716.400,138482.400,189664.700,195665.200,133225.700,142783.000,143092.500,128317.700,0.000
139644.900,138409.800,189557.000,195556.700,133157.800,142713.200,143021.100,128252.200,0.000
139578.300,138340.000,189455.500,195453.500,133094.300,142642.500,142951.400,128189.900,0.000
139514.500,138277.300,189360.300,195355.200,133035.600,142576.000,142886.600,128132.400,0.000
139446.800,138212.900,189265.000,195254.800,132975.000,142509.900,142821.500,128073.200,0.000
139387.500,138155.600,189175.400,195161.500,132919.000,142448.900,142760.300,128018.800,0.000
139321.500,138089.200,189078.900,195062.400,132854.900,142378.800,142692.000,127958.800,0.000
139267.600,138034.900,188996.200,194977.500,132804.300,142323.800,142637.500,127909.700,0.000
139215.100,137984.900,188918.600,194897.000,132756.000,142271.900,142584.800,127862.700,0.000
139161.300,137931.900,188837.700,194813.600,132704.000,142215.000,142530.000,127812.900,0.000
139109.800,137881.300,188758.600,194732.600,132653.400,142166.300,142477.700,127767.500,0.000
139067.800,137839.500,188689.000,194661.900,132613.000,142126.600,142433.300,127728.000,0.000
139029.400,137800.000,188624.100,194596.300,132577.000,142087.000,142394.800,127693.600,0.000
138977.600,137747.500,188547.800,194518.400,132527.000,142030.600,142341.300,127645.200,0.000
138933.900,137706.200,188482.300,194451.200,132487.600,141990.300,142299.000,127607.000,0.000
138885.000,137658.000,188410.700,194380.500,132441.500,141944.200,142252.000,127565.700,0.000
138844.000,137618.300,188348.000,194316.800,132403.200,141905.300,142210.500,127528.500,0.000
138813.100,137587.500,188295.700,194263.800,132374.500,141873.200,142178.700,127500.900,0.000
138779.800,137555.700,188242.700,194210.800,132343.400,141841.000,142145.800,127468.700,0.000
138740.100,137515.000,188181.000,194147.600,132301.900,141799.600,142101.200,127428.600,0.000
138717.900,137492.700,188137.000,194101.800,132280.500,141777.200,142078.300,127407.100,0.000
138687.100,137463.100,188087.300,194048.600,132250.300,141741.600,142043.100,127377.100,0.000
138656.200,137434.900,188040.400,193997.100,132224.500,141711.500,142012.800,127350.800,0.000
