EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
65004.340,65004.340,12659.890,60964.010,65004.340,65004.340,65004.340,65004.340,0.000
256133.600,256133.600,57672.520,230244.800,256133.600,246615.100,256133.600,256133.600,0.000
471878.100,488262.500,139339.800,423965.300,488262.500,417131.700,488262.500,488262.500,0.000
597989.900,668836.700,263734.000,581366.400,668836.700,460803.500,668836.700,664165.600,0.000
638072.300,783576.600,413198.400,704471.800,783576.600,428825.500,783576.600,765235.300,0.000
613386.300,799677.900,536215.100,771760.000,825724.900,391644.000,825724.900,795498.400,0.000
536740.900,679394.100,620381.100,779593.500,804636.900,372887.100,804636.900,775209.200,0.000
482776.500,513595.800,681536.400,761916.000,761561.300,387627.300,761561.300,740518.300,0.000
528216.600,460258.000,721012.500,754218.100,741316.600,464896.800,741316.600,730155.800,0.000
635633.600,527249.300,741831.300,760584.900,750834.600,597296.600,750834.600,749362.600,0.000
723668.300,625209.300,754236.700,761486.900,761001.600,703310.600,761001.600,765591.600,0.000
758841.500,705486.000,761908.400,747032.900,744246.600,735738.100,743881.600,754072.800,0.000
754834.900,753777.800,760228.300,730756.600,696478.300,735515.100,695367.200,729190.100,0.000
745196.400,767226.700,749176.800,729322.400,631914.800,748902.900,630669.700,718933.400,0.000
746358.400,754099.400,738064.800,739480.400,562157.100,769218.100,561830.800,716619.600,0.000
739407.100,724419.300,735323.300,743594.700,482045.500,753603.000,483284.600,685109.600,0.000
695477.400,679490.800,738533.600,733815.600,389398.100,684789.400,392490.300,608280.000,0.000
617701.800,618067.900,738642.800,721160.100,304470.000,596486.700,309323.600,509632.300,0.000
532819.700,539981.100,732149.300,719056.100,250705.800,525066.300,256792.200,424234.500,0.000
457592.100,452089.700,724816.400,725599.900,225601.100,467315.300,232187.000,365749.500,0.000
392559.100,373288.600,722981.600,727845.300,204676.300,402607.800,211269.800,321508.300,0.000
336186.200,320989.500,725116.100,719970.300,173452.400,333601.600,180014.700,277689.100,0.000
293706.800,294406.800,724633.500,709974.100,143109.000,286011.100,149836.600,238652.400,0.000
270109.100,277627.200,719037.400,707583.600,131005.900,272698.300,137989.300,217324.200,0.000
261815.300,259972.600,712731.000,711462.600,136055.300,276460.300,143227.000,215066.300,0.000
258632.400,245654.100,710521.800,712418.500,140741.700,272318.200,148082.400,218163.400,0.000
252574.400,241524.300,711353.300,706309.000,133587.400,255854.900,141218.800,213304.000,0.000
243390.100,243427.400,710391.800,698622.700,121280.800,242005.400,129312.600,201247.700,0.000
235252.300,240285.500,705736.800,696022.800,116542.200,240708.000,124911.300,192106.300,0.000
230088.900,228553.700,700482.100,697676.100,120583.800,244045.900,129120.400,190647.700,0.000
225791.900,216199.900,698071.900,697526.100,123225.900,239233.100,131849.500,191199.700,0.000
219865.400,211331.300,697844.100,692834.300,117703.400,226094.900,126486.500,186612.900,0.000
212569.400,211694.600,696468.800,687038.900,108797.000,215367.500,117829.200,177494.300,0.000
205949.500,208798.900,692580.700,684299.600,104923.500,213135.500,114174.700,170143.900,0.000
201108.700,199779.100,688201.900,684175.400,106936.200,213969.100,116296.900,167858.300,0.000
197369.600,190560.400,685641.800,683127.200,108424.900,210080.000,117846.800,167558.400,0.000
