EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
112687.700,112781.700,600141.300,592883.900,83420.590,122472.100,97738.170,135869.500,0.000
112186.600,111743.500,597073.800,591526.000,80869.530,117795.400,98386.720,130543.500,0.000
112814.000,110124.900,594339.800,590477.700,79457.500,116470.400,100240.600,125436.000,0.000
112221.000,108664.400,592383.100,587896.100,82851.080,118858.100,100143.300,126522.600,0.000
109826.800,107980.800,590588.100,584075.600,88083.600,120272.400,97657.130,131279.500,0.000
107520.900,107631.800,588127.500,580991.400,89758.450,117469.600,95617.480,132229.900,0.000
107020.200,106685.500,585097.600,579565.500,87404.120,113047.800,96206.210,127223.300,0.000
107581.600,105059.100,582375.900,578449.600,85941.730,111773.300,98008.750,122266.300,0.000
107115.600,103682.800,580316.300,575875.900,88858.640,114032.800,98026.500,123163.700,0.000
105043.500,103199.400,578114.100,571914.600,93581.200,115436.500,95781.500,127639.700,0.000
102986.000,103031.600,574846.400,568185.300,95199.790,112932.400,93882.410,128665.600,0.000
102478.200,102168.700,570658.600,565547.600,93155.890,108890.400,94385.640,124128.400,0.000
102933.000,100592.400,566516.800,562939.000,91779.830,107685.400,96046.410,119511.200,0.000
102549.200,99314.430,563008.200,558984.300,94248.430,109702.000,96131.770,120194.100,0.000
100776.900,98959.590,559745.000,554043.600,98402.770,110989.700,94158.210,124203.900,0.000
98959.550,98885.980,556059.200,549782.400,99931.040,108787.500,92434.700,125196.800,0.000
98424.330,98080.610,551981.900,546948.100,98237.070,105176.800,92821.540,121191.900,0.000
98733.530,96577.350,548189.900,544453.000,97012.760,104036.800,94269.060,117018.800,0.000
98392.040,95399.700,545057.100,540939.900,99060.050,105742.600,94384.080,117485.100,0.000
96895.700,95126.170,542151.100,536596.300,102627.700,106860.900,92700.950,120936.300,0.000
95317.590,95099.430,538841.900,532787.300,104047.500,104972.400,91187.860,121839.500,0.000
94769.130,94356.340,535148.400,530146.400,102724.500,101837.400,91466.190,118404.900,0.000
94935.860,92958.260,531671.600,527779.600,101701.300,100775.000,92676.000,114740.700,0.000
94609.830,91876.160,528752.900,524562.000,103364.700,102131.700,92784.690,114995.900,0.000
93349.380,91632.170,526031.400,520645.000,106348.700,103026.000,91367.050,117835.900,0.000
91986.140,91600.770,522967.700,517153.300,107637.600,101413.100,90056.890,118597.700,0.000
91421.020,90905.300,519573.300,514615.900,106667.700,98737.980,90226.050,115718.400,0.000
91445.930,89626.300,516356.600,512316.100,105866.100,97755.780,91194.850,112581.900,0.000
91120.770,88647.360,513609.100,509342.200,107203.500,98775.050,91290.370,112658.100,0.000
90067.390,88416.930,511031.900,505803.200,109651.100,99447.190,90131.370,114904.700,0.000
88902.640,88362.760,508174.000,502590.700,110807.500,98094.050,89026.480,115511.800,0.000
88331.330,87714.100,505039.100,500130.900,110159.900,95859.090,89099.960,113154.300,0.000
88226.630,86554.840,502042.300,497868.500,109570.700,94951.540,89831.980,110524.200,0.000
87886.210,85661.630,499426.300,495090.000,110616.500,95642.020,89890.510,110433.800,0.000
87000.220,85414.950,496953.900,491871.000,112567.500,96087.550,88950.440,112109.000,0.000
86003.150,85313.610,494260.800,488893.400,113582.700,94956.510,88026.670,112542.800,0.000
85428.020,84704.580,491345.600,486490.000,113213.200,93121.930,88014.300,110649.200,0.000
85215.450,83671.070,488537.200,484249.700,112829.300,92295.940,88536.660,108494.800,0.000
84863.430,82867.770,486029.900,481634.100,113641.800,92702.640,88565.790,108277.100,0.000
84121.380,82602.660,483640.600,478689.400,115162.700,92945.290,87826.430,109445.900,0.000
83270.920,82450.330,481084.900,475914.200,116041.300,92004.950,87072.060,109715.600,0.000
82693.270,81871.320,478356.800,473557.200,115895.000,90516.220,86985.040,108220.500,0.000
82380.110,80944.510,475706.600,471328.800,115676.500,89753.530,87308.180,106478.500,0.000
82003.770,80213.730,473286.300,468844.300,116286.300,89905.820,87291.100,106148.700,0.000
81372.990,79924.570,470962.000,466128.200,117437.100,89967.380,86713.890,106873.100,0.000
80646.690,79723.840,468519.000,463522.900,118190.300,89188.800,86104.420,106991.700,0.000
80078.390,79177.590,465947.900,461204.700,118227.400,88001.530,85959.420,105838.800,0.000
79693.160,78355.790,463431.700,458986.000,118156.400,87303.550,86119.280,104465.200,0.000
79298.770,77692.840,461084.900,456609.900,118608.500,87245.460,86064.370,104060.300,0.000
78753.860,77376.200,458814.500,454083.800,119450.800,87148.020,85621.880,104417.100,0.000
78124.600,77124.340,456466.400,451622.700,120084.300,86493.600,85133.630,104401.400,0.000
77565.200,76604.680,454030.000,449343.400,120255.500,85552.260,84942.450,103524.500,0.000
77124.800,75878.080,451629.800,447138.300,120299.600,84911.770,84967.010,102456.600,0.000
76715.770,75276.330,449346.400,444852.100,120623.600,84686.520,84876.110,101996.100,0.000
76239.270,74935.590,447120.500,442479.900,121209.700,84461.160,84539.710,102053.000,0.000
75692.030,74639.210,444849.500,440137.100,121730.400,83907.120,84151.880,101922.500,0.000
75148.140,74140.760,442522.800,437892.600,121990.200,83165.630,83926.880,101265.600,0.000
74670.970,73492.310,440218.600,435701.600,122115.900,82576.150,83841.160,100449.000,0.000
74251.520,72939.010,437990.300,433489.500,122337.000,82222.000,83713.950,99952.770,0.000
73826.410,72574.850,435805.200,431243.000,122717.400,81895.210,83453.380,99773.720,0.000
73344.600,72240.620,433601.700,429001.000,123137.000,81417.300,83140.800,99546.350,0.000
72817.770,71762.080,431368.400,426793.800,123450.500,80829.670,82888.160,99052.270,0.000
72314.510,71181.950,429146.600,424622.300,123633.300,80280.710,82715.120,98427.090,0.000
71884.900,70673.110,426968.200,422473.000,123780.600,79830.710,82559.190,97906.200,0.000
71493.860,70292.810,424820.700,420327.500,124006.200,79425.790,82357.660,97545.880,0.000
71058.270,69929.120,422674.300,418168.800,124340.100,79002.670,82106.890,97237.710,0.000
70550.930,69472.960,420520.700,416001.000,124686.000,78538.090,81845.950,96867.410,0.000
70040.730,68957.730,418372.900,413857.000,124911.600,78036.260,81621.020,96400.720,0.000
69606.300,68486.800,416242.400,411763.200,125002.800,77525.910,81444.320,95877.350,0.000
69232.220,68087.090,414130.100,409697.400,125102.800,77062.750,81276.130,95389.340,0.000
68823.760,67692.050,412032.100,407606.400,125352.700,76673.090,81060.340,95018.480,0.000
68327.380,67243.610,409941.800,405475.000,125693.900,76287.160,80781.780,94726.790,0.000
67808.420,66766.890,407851.800,403356.600,125926.100,75808.850,80503.660,94363.120,0.000
67370.390,66321.120,405762.500,401307.800,125967.900,75255.130,80301.210,93838.100,0.000
67015.730,65915.580,403685.900,399307.200,125978.000,74759.960,80156.700,93267.580,0.000
66637.980,65510.280,401633.300,397275.800,126159.800,74402.040,79971.180,92854.960,0.000
66161.560,65078.000,399597.900,395183.300,126480.800,74075.810,79686.040,92613.700,0.000
65646.480,64636.890,397559.100,393095.300,126706.700,73619.680,79373.970,92320.160,0.000
65208.450,64212.300,395508.900,391086.600,126714.100,73040.960,79151.020,91799.680,0.000
64861.600,63799.370,393466.700,389137.400,126663.500,72521.370,79016.380,91178.770,0.000
64499.950,63382.040,391455.300,387156.200,126792.300,72177.100,78849.200,90738.250,0.000
64039.510,62960.640,389468.700,385104.600,127088.100,71888.260,78565.220,90529.130,0.000
63532.020,62547.300,387476.400,383051.300,127301.700,71454.850,78237.930,90287.000,0.000
63093.930,62139.570,385464.300,381079.300,127283.200,70871.890,78002.140,89781.710,0.000
62748.580,61722.490,383455.600,379170.900,127184.600,70342.450,77867.450,89137.240,0.000
62397.350,61298.490,381479.900,377231.100,127258.000,70003.650,77706.190,88674.380,0.000
61955.250,60888.220,379532.700,375217.800,127509.700,69733.510,77423.360,88471.130,0.000
61464.640,60499.150,377579.500,373199.500,127695.400,69316.500,77089.200,88250.990,0.000
61032.450,60107.590,375602.700,371260.100,127652.300,68738.650,76842.080,87757.340,0.000
60685.890,59692.420,373626.300,369384.500,127519.800,68209.200,76700.050,87108.120,0.000
60339.140,59270.090,371684.200,367480.600,127549.600,67874.510,76540.770,86637.480,0.000
59911.440,58872.320,369772.500,365505.800,127759.100,67614.900,76264.430,86435.220,0.000
59438.190,58502.750,367855.300,363524.000,127918.600,67214.770,75934.000,86229.620,0.000
59018.380,58126.310,365913.900,361616.700,127866.800,66656.460,75685.640,85761.330,0.000
58676.660,57714.430,363971.100,359770.300,127719.400,66136.300,75536.080,85132.480,0.000
58333.150,57288.550,362059.500,357897.400,127705.300,65793.660,75364.310,84660.720,0.000
57914.720,56891.770,360176.900,355957.800,127853.500,65522.730,75076.850,84442.170,0.000
57451.870,56527.930,358289.800,354010.700,127964.800,65124.460,74736.340,84227.540,0.000
57032.520,56154.620,356379.400,352130.400,127889.400,64579.170,74472.800,83767.520,0.000
56684.190,55744.880,354467.600,350306.800,127727.700,64069.750,74308.710,83151.770,0.000
56341.950,55327.110,352586.400,348463.000,127688.700,63729.630,74137.860,82679.350,0.000
55938.080,54942.380,350733.900,346561.200,127800.100,63460.460,73867.130,82444.560,0.000
55492.460,54587.940,348877.100,344650.900,127881.700,63074.800,73541.280,82219.990,0.000
55080.620,54220.840,346997.500,342797.600,127796.400,62552.020,73275.200,81776.020,0.000
54730.520,53817.350,345115.700,340994.500,127628.000,62057.250,73094.330,81188.210,0.000
54389.900,53407.510,343261.600,339175.600,127558.600,61711.790,72908.340,80722.320,0.000
54000.420,53032.880,341434.000,337307.200,127618.400,61431.820,72635.470,80467.410,0.000
53576.150,52691.130,339604.200,335431.900,127660.800,61055.740,72317.250,80229.590,0.000
53178.090,52337.300,337756.100,333606.300,127567.900,60563.120,72055.150,79805.470,0.000
52828.600,51943.620,335906.400,331824.800,127401.100,60090.110,71868.070,79251.980,0.000
52486.630,51538.910,334080.600,330031.000,127311.600,59739.860,71676.910,78797.370,0.000
52106.920,51167.160,332278.500,328196.700,127330.500,59446.450,71412.340,78525.440,0.000
51699.570,50828.300,330475.700,326356.700,127338.200,59075.870,71107.220,78275.090,0.000
51310.050,50478.520,328656.700,324556.900,127231.600,58606.660,70843.750,77869.190,0.000
50956.910,50092.110,326835.100,322792.900,127057.000,58150.380,70640.190,77350.410,0.000
50610.500,49696.380,325033.300,321020.000,126940.300,57796.140,70435.450,76910.350,0.000
50233.330,49327.890,323252.100,319215.100,126910.600,57489.790,70170.120,76620.380,0.000
49831.760,48985.510,321471.100,317405.500,126875.300,57119.880,69868.840,76349.340,0.000
49445.460,48635.680,319678.500,315629.200,126754.500,56671.470,69602.650,75954.090,0.000
49093.160,48259.600,317885.500,313884.000,126582.800,56236.950,69390.130,75468.380,0.000
48751.990,47879.300,316110.800,312134.600,126456.700,55886.640,69181.310,75045.080,0.000
48389.880,47523.040,314354.800,310362.200,126398.600,55575.210,68924.530,74742.090,0.000
48007.490,47187.010,312600.300,308586.600,126336.400,55212.280,68636.160,74456.110,0.000
47631.370,46839.930,310835.700,306835.600,126204.000,54782.270,68369.770,74070.450,0.000
47276.190,46466.190,309069.700,305108.000,126023.800,54356.730,68140.240,73608.250,0.000
46929.640,46089.130,307317.800,303378.300,125874.100,53996.510,67914.590,73192.380,0.000
46570.640,45735.920,305581.300,301632.300,125778.100,53671.430,67656.110,72872.400,0.000
46198.780,45403.220,303847.300,299884.600,125684.700,53311.800,67375.810,72569.530,0.000
45831.880,45062.730,302107.100,298156.300,125542.500,52902.390,67111.980,72191.480,0.000
45479.930,44699.090,300367.200,296447.100,125362.700,52493.980,66874.070,71751.840,0.000
45135.300,44331.770,298639.800,294738.900,125201.600,52132.520,66638.700,71343.830,0.000
44783.380,43983.740,296926.400,293021.400,125078.500,51797.650,66379.080,71008.180,0.000
44421.190,43651.000,295216.600,291303.800,124957.400,51438.290,66101.840,70688.330,0.000
44060.070,43311.550,293503.000,289600.400,124800.900,51042.930,65835.980,70316.230,0.000
43709.500,42955.760,291789.800,287911.100,124615.500,50648.480,65590.930,69900.100,0.000
43365.330,42596.980,290085.400,286223.300,124438.000,50287.290,65348.610,69503.960,0.000
43018.100,42251.720,288391.000,284529.600,124283.100,49945.380,65087.210,69157.250,0.000
42667.420,41920.580,286700.600,282836.800,124133.100,49590.070,64813.920,68825.480,0.000
42319.100,41586.780,285010.100,281155.400,123964.800,49212.710,64550.860,68461.850,0.000
41976.660,41239.550,283322.200,279485.800,123776.400,48833.910,64302.840,68066.360,0.000
41638.010,40889.130,281642.000,277819.700,123588.900,48473.720,64057.450,67679.540,0.000
41298.400,40549.450,279970.200,276152.000,123413.500,48124.670,63799.540,67323.920,0.000
40956.930,40220.910,278302.700,274486.000,123243.100,47768.380,63533.240,66981.550,0.000
40615.020,39890.040,276636.000,272827.400,123062.400,47398.780,63271.630,66621.440,0.000
40274.590,39548.210,274971.200,271176.600,122863.900,47025.960,63016.000,66238.600,0.000
39937.300,39204.160,273312.000,269530.000,122659.100,46663.380,62761.370,65857.910,0.000
39601.730,38868.910,271660.200,267885.400,122459.300,46309.830,62501.050,65496.900,0.000
39265.930,38542.770,270014.100,266244.500,122266.600,45956.550,62237.960,65148.970,0.000
38929.510,38216.170,268371.200,264609.300,122072.700,45598.110,61977.700,64795.870,0.000
38593.430,37881.790,266730.300,262979.100,121864.800,45234.950,61716.210,64428.620,0.000
38259.570,37544.750,265092.500,261352.000,121644.500,44874.190,61451.420,64057.780,0.000
37927.810,37213.180,263459.600,259728.000,121422.700,44519.480,61183.430,63695.500,0.000
37596.180,36888.390,261832.100,258107.900,121208.000,44169.460,60915.350,63342.430,0.000
