EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,484454.900,750000.100,482589.700,623181.300,750000.100,750000.100,0.000
639424.300,750000.100,352032.700,594129.900,-173886.900,301964.700,750000.100,680253.800,0.000
611671.200,750000.100,333015.300,594857.100,-424466.200,275561.500,750000.100,612340.300,0.000
609819.200,750000.100,310155.800,691803.000,-649533.900,341205.500,750000.100,665689.900,0.000
604003.400,618099.600,485465.900,727261.100,-750000.100,441977.500,750000.100,750000.100,0.000
750000.100,532849.300,654819.500,750000.100,-338632.000,579015.100,750000.100,750000.100,0.000
750000.100,750000.100,685393.200,750000.100,750000.100,609052.800,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,730062.000,750000.100,750000.100,703568.900,0.000
638140.300,635747.100,750000.100,750000.100,608122.300,653270.300,651713.300,586086.400,0.000
541431.600,539298.300,750000.100,750000.100,516014.100,554073.500,553162.700,497354.000,0.000
464777.600,462825.300,662458.300,680354.900,442965.000,475371.500,475033.700,426926.600,0.000
401964.800,400038.200,572494.000,588224.100,383014.400,410825.900,410986.300,369151.900,0.000
349527.900,347636.800,497472.300,511322.800,332975.700,356976.900,357627.500,321127.100,0.000
305643.300,304009.500,434654.800,446890.600,291310.300,312230.700,312807.700,280852.300,0.000
271459.300,270048.900,385856.300,396938.200,258748.600,277427.300,277871.600,249365.400,0.000
255374.000,254000.400,362905.000,373374.200,243474.100,260956.500,261456.700,234611.400,0.000
247800.000,246463.000,352058.000,362269.300,236266.500,253194.000,253697.600,227649.300,0.000
241063.900,239748.200,342425.900,352423.600,229847.100,246302.700,246821.000,221453.700,0.000
234860.600,233573.000,333572.400,343353.300,223940.600,239975.400,240487.900,215755.100,0.000
229134.700,227883.700,325413.500,334977.800,218490.300,234142.400,234632.400,210497.800,0.000
223868.600,222650.300,317894.200,327255.100,213471.700,228773.400,229240.000,205656.700,0.000
218978.400,217785.900,310916.900,320065.500,208804.600,223781.300,224221.700,201159.500,0.000
