EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
146866.500,146571.800,199229.400,204930.000,141591.000,150658.300,150309.500,135214.300,0.000
146462.300,146189.600,198681.200,204345.500,141216.500,150274.500,149919.200,134850.600,0.000
146118.800,145845.000,198189.700,203832.100,140885.200,149918.300,149568.400,134536.300,0.000
145777.500,145489.400,197699.900,203344.600,140539.400,149535.100,149191.500,134206.000,0.000
145433.100,145153.900,197219.000,202837.000,140204.300,149180.800,148838.000,133887.300,0.000
145110.300,144836.100,196774.000,202383.300,139906.000,148873.400,148528.500,133603.500,0.000
144798.500,144520.400,196341.000,201946.500,139605.900,148550.300,148207.100,133319.800,0.000
144509.200,144227.800,195928.300,201518.300,139314.300,148234.600,147888.900,133038.200,0.000
144253.700,143961.600,195553.500,201136.400,139056.500,147950.000,147605.000,132782.800,0.000
143972.400,143685.200,195165.500,200732.500,138793.200,147678.900,147334.300,132531.800,0.000
143701.300,143426.800,194796.700,200353.700,138542.600,147418.400,147072.100,132294.300,0.000
143460.800,143186.500,194457.000,200005.600,138312.000,147172.200,146828.300,132073.000,0.000
143234.500,142950.800,194132.500,199672.000,138089.900,146937.100,146592.600,131862.300,0.000
143003.200,142717.500,193808.300,199350.700,137861.700,146690.800,146343.900,131642.900,0.000
142794.800,142517.300,193515.300,199043.100,137673.300,146502.700,146151.700,131460.300,0.000
142595.300,142318.700,193228.400,198744.000,137482.400,146292.500,145949.200,131276.200,0.000
142397.600,142113.700,192945.500,198458.600,137282.400,146064.500,145724.300,131083.700,0.000
142216.800,141936.800,192687.300,198193.900,137109.500,145883.500,145545.500,130922.900,0.000
142020.200,141741.600,192418.000,197920.300,136922.400,145689.300,145346.500,130742.600,0.000
141844.700,141562.700,192166.500,197665.300,136747.400,145503.100,145158.400,130569.100,0.000
141684.200,141403.300,191938.400,197433.800,136598.300,145341.300,145002.000,130432.200,0.000
141538.300,141261.100,191728.500,197221.900,136463.800,145199.700,144864.900,130307.300,0.000
141370.100,141086.900,191493.500,196991.700,136296.100,145017.900,144679.600,130145.500,0.000
141212.800,140936.100,191274.400,196751.100,136148.100,144860.600,144525.400,130006.100,0.000
141101.000,140820.100,191096.500,196568.000,136028.800,144734.500,144385.000,129878.600,0.000
140954.900,140677.900,190894.500,196365.800,135888.400,144590.800,144241.000,129743.800,0.000
140850.800,140577.700,190740.800,196210.100,135797.000,144503.200,144155.800,129668.900,0.000
140728.100,140448.700,190563.900,196034.400,135672.200,144363.500,144019.700,129555.800,0.000
140598.400,140314.500,190378.700,195846.800,135538.800,144218.200,143864.400,129420.300,0.000
140479.300,140195.600,190211.000,195685.500,135427.800,144101.300,143751.600,129320.000,0.000
140353.900,140079.800,190041.700,195499.900,135320.500,143996.600,143651.400,129226.000,0.000
140240.200,139973.600,189887.600,195339.800,135221.500,143903.300,143554.800,129132.300,0.000
140151.800,139883.100,189753.400,195200.600,135129.700,143795.000,143445.300,129038.100,0.000
140092.800,139819.600,189648.800,195092.700,135067.100,143714.600,143370.400,128967.400,0.000
140011.600,139738.600,189528.800,194972.800,134992.700,143635.900,143293.300,128895.300,0.000
139908.700,139632.500,189382.400,194816.600,134883.900,143522.000,143168.100,128776.300,0.000
139826.200,139549.500,189262.800,194692.600,134805.600,143436.200,143085.400,128694.900,0.000
139756.000,139474.400,189152.800,194580.100,134732.200,143358.500,143010.100,128623.200,0.000
139678.700,139394.300,189037.300,194464.500,134654.400,143274.100,142929.900,128551.800,0.000
139590.300,139312.100,188917.100,194338.100,134577.400,143198.500,142855.200,128487.500,0.000
139523.000,139243.200,188815.100,194237.400,134511.700,143118.800,142783.900,128430.800,0.000
139467.000,139187.800,188726.400,194149.600,134460.100,143066.000,142735.300,128396.800,0.000
139411.900,139131.500,188639.600,194063.000,134407.600,143014.800,142684.500,128358.700,0.000
139343.500,139064.000,188542.600,193969.600,134340.800,142941.700,142611.600,128302.000,0.000
139268.400,138988.900,188440.500,193865.500,134268.900,142870.200,142536.000,128233.900,0.000
139209.600,138935.000,188354.800,193770.700,134214.500,142812.800,142474.600,128175.000,0.000
139168.900,138896.500,188288.100,193702.800,134178.300,142780.500,142439.300,128138.300,0.000
139120.700,138843.800,188211.600,193625.900,134128.400,142726.500,142381.300,128085.900,0.000
139083.600,138809.400,188150.100,193565.500,134093.200,142684.200,142330.600,128041.900,0.000
139015.900,138745.000,188058.400,193465.400,134034.400,142618.100,142269.000,127982.800,0.000
138974.500,138704.000,187992.700,193401.000,134000.000,142574.000,142229.200,127944.300,0.000
138939.700,138674.300,187937.100,193341.100,133974.400,142549.300,142201.500,127915.300,0.000
138897.700,138628.600,187871.700,193278.000,133935.000,142505.200,142159.100,127876.400,0.000
138840.200,138571.300,187792.000,193199.900,133882.800,142453.700,142106.400,127822.900,0.000
138806.400,138539.200,187736.200,193145.400,133854.000,142424.300,142079.000,127795.700,0.000
138759.500,138492.500,187668.000,193079.700,133811.000,142377.300,142038.500,127766.700,0.000
138734.700,138462.900,187620.100,193031.400,133779.500,142338.500,142001.300,127741.700,0.000
138715.000,138445.000,187583.200,192993.400,133763.900,142318.700,141987.400,127733.000,0.000
138662.300,138390.300,187510.300,192923.400,133712.900,142263.100,141938.200,127698.000,0.000
138620.800,138347.600,187448.400,192860.000,133669.100,142217.300,141886.500,127653.500,0.000
138592.300,138320.000,187401.600,192811.200,133645.200,142197.800,141865.000,127630.600,0.000
138575.500,138298.200,187364.500,192774.900,133623.800,142172.000,141836.000,127612.600,0.000
138555.700,138277.600,187326.700,192735.000,133602.500,142153.300,141812.000,127590.400,0.000
138528.700,138249.800,187281.200,192688.900,133574.400,142122.500,141781.200,127561.900,0.000
138504.300,138227.800,187240.300,192646.400,133549.800,142102.200,141756.400,127534.400,0.000
138474.300,138198.300,187193.500,192598.800,133517.300,142066.200,141714.600,127497.800,0.000
138452.000,138174.900,187154.100,192557.400,133493.200,142040.300,141688.600,127473.200,0.000
138433.800,138156.100,187119.300,192520.400,133473.800,142022.000,141668.800,127455.800,0.000
138415.100,138142.400,187090.000,192488.700,133464.800,142014.900,141660.500,127445.300,0.000
138386.100,138117.800,187050.900,192450.900,133449.200,142003.200,141653.100,127432.800,0.000
138372.400,138103.600,187022.500,192424.200,133438.800,141976.000,141640.700,127425.600,0.000
138353.500,138084.300,186988.900,192391.700,133423.000,141961.700,141622.400,127409.100,0.000
138337.600,138069.100,186959.400,192360.700,133406.800,141940.200,141596.300,127387.200,0.000
138311.500,138043.600,186920.000,192322.500,133384.600,141917.700,141581.100,127371.300,0.000
138298.100,138024.400,186887.900,192290.000,133361.500,141877.900,141540.100,127343.500,0.000
138272.900,137999.700,186849.400,192251.200,133337.900,141859.500,141519.100,127317.900,0.000
138265.600,137992.400,186829.700,192230.900,133333.600,141859.700,141521.300,127319.400,0.000
138242.400,137970.500,186795.800,192198.100,133312.200,141835.300,141500.000,127301.100,0.000
138216.800,137946.100,186758.400,192162.300,133288.000,141808.600,141473.400,127277.600,0.000
