EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
65004.340,65004.340,65004.340,65004.340,65004.340,65004.340,65004.340,65004.340,0.000
256133.600,256133.600,233118.200,256133.600,232956.500,245141.900,256133.600,256133.600,0.000
478678.600,488262.500,386098.400,474752.800,340040.300,417111.800,488262.500,482217.400,0.000
628668.400,668836.700,449090.400,615668.300,248835.500,474288.000,668836.700,639131.300,0.000
701951.400,783576.600,452083.200,690753.400,12644.790,458037.100,783576.600,719601.300,0.000
707911.100,814292.800,425207.000,723377.500,-287793.300,420736.800,825724.900,744840.500,0.000
673823.100,752202.600,416637.400,719630.700,-544280.300,394898.200,804636.900,734728.500,0.000
655247.300,665399.000,465240.400,708017.300,-541161.000,417817.700,761561.300,716282.700,0.000
680055.100,642350.200,567419.900,722602.400,-195545.600,508994.600,741316.600,722643.100,0.000
730861.400,678373.100,684483.000,757399.800,273902.600,638442.400,750834.600,753972.900,0.000
767668.100,720368.000,759707.800,774478.000,638509.400,732825.400,761001.600,773161.300,0.000
764051.900,741070.400,769637.700,755756.600,827296.100,755934.100,749565.100,757238.100,0.000
737353.800,742120.400,747913.100,727234.200,857897.900,743890.800,728439.100,723998.100,0.000
715293.000,729145.100,739752.900,723164.300,796589.900,735514.300,714496.600,695103.600,0.000
691073.500,692995.400,752634.800,741864.800,710823.000,718585.800,694078.300,661067.100,0.000
638457.600,627605.700,752126.600,746136.800,633403.200,660495.400,641682.500,597467.400,0.000
547989.100,539922.300,706228.700,705692.600,553683.100,559771.500,553050.000,499133.000,0.000
441823.600,445475.500,627195.000,632405.800,455091.200,451728.800,451664.000,394134.500,0.000
356772.000,363597.900,549448.000,558862.100,355831.700,373307.400,369182.100,319197.500,0.000
307614.800,305105.900,484629.600,495469.300,291319.400,327849.100,316697.900,280896.000,0.000
277236.400,266203.200,422649.100,431818.000,268851.500,291875.700,280581.900,254559.800,0.000
244395.700,236844.600,361446.900,367607.800,259476.800,250968.700,245770.200,220182.200,0.000
209993.500,212391.600,315961.700,320318.300,235713.900,215759.200,214082.500,185558.200,0.000
190543.800,195960.500,298171.600,302671.000,203826.000,202284.300,197162.000,170169.300,0.000
191912.300,190435.500,299472.700,304553.800,189458.500,207424.900,197124.800,175766.100,0.000
199156.300,191032.300,298936.200,303506.900,199039.100,211374.100,201017.300,182786.100,0.000
194776.200,188862.400,286336.100,289657.700,210345.200,201629.600,195720.200,175086.800,0.000
179269.800,180528.900,270162.700,272948.200,202219.500,185746.500,182483.100,158311.200,0.000
167217.500,170797.200,262396.000,265772.800,180792.000,177969.300,172442.900,148950.700,0.000
166714.300,165452.200,262306.800,266270.000,168429.700,180095.300,171000.100,151691.100,0.000
170222.100,164146.200,259541.500,263047.800,173436.000,181305.900,172038.000,155300.400,0.000
166535.400,161843.700,249087.800,251534.600,181302.400,173930.900,167533.100,149378.900,0.000
155472.800,155750.100,236883.400,238874.100,175998.000,162569.500,157954.800,137420.000,0.000
146381.500,148422.900,230481.800,232919.400,160476.500,156264.400,150303.800,130204.700,0.000
144979.400,143885.000,229304.800,232179.000,150499.000,156559.800,148364.500,131113.100,0.000
