EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
80004.520,79857.200,124856.200,124580.100,94200.960,88870.420,81162.210,71044.190,0.000
81844.650,80250.410,125915.900,125713.900,95159.550,90735.300,82460.390,73139.140,0.000
81795.230,80089.270,124719.000,124314.500,96674.770,89655.080,82173.310,72687.190,0.000
78859.840,78526.600,121386.500,120749.900,95629.950,86012.750,79598.840,69330.740,0.000
75989.570,76631.850,118965.600,118366.800,92368.230,83671.650,77166.300,66688.380,0.000
76007.720,75909.840,119218.700,118845.600,90222.270,84662.370,77083.130,67360.560,0.000
77798.210,76282.550,120279.200,119968.000,91024.200,86489.380,78358.670,69422.890,0.000
77916.190,76246.080,119292.300,118756.500,92661.630,85638.180,78228.380,69148.010,0.000
75302.310,74922.790,116302.900,115539.700,91965.700,82349.500,75935.660,66102.730,0.000
72626.500,73197.320,114077.200,113377.200,88971.860,80151.610,73676.910,63624.150,0.000
72557.290,72464.580,114259.700,113799.700,86800.100,80979.190,73533.050,64177.410,0.000
74180.490,72761.300,115216.000,114811.300,87409.310,82647.250,74684.550,66068.610,0.000
74377.210,72782.750,114384.900,113748.600,89013.090,81974.540,74641.350,65900.350,0.000
72097.120,71672.460,111754.000,110899.200,88575.680,79089.340,72650.280,63212.000,0.000
69665.620,70130.560,109740.100,108959.700,85903.750,77086.090,70614.310,60958.740,0.000
69508.860,69404.580,109823.400,109279.800,83802.730,77731.200,70414.260,61380.050,0.000
70908.260,69610.220,110623.100,110127.600,84220.130,79175.110,71395.980,63034.750,0.000
71131.480,69647.230,109912.400,109194.700,85689.470,78631.780,71387.370,62930.770,0.000
69185.940,68722.100,107636.900,106718.900,85430.160,76146.120,69679.950,60610.850,0.000
67031.190,67366.660,105840.500,104998.200,83096.970,74346.550,67872.450,58605.350,0.000
66791.310,66652.500,105807.000,105185.300,81119.970,74785.610,67602.090,58876.260,0.000
67926.160,66750.410,106411.600,105832.300,81343.400,75960.300,68377.180,60246.680,0.000
68124.810,66767.460,105784.700,105004.400,82611.840,75516.750,68371.640,60172.040,0.000
66487.220,65991.950,103841.200,102886.300,82465.750,73423.900,66933.010,58212.220,0.000
64616.400,64814.600,102258.100,101375.300,80472.060,71842.410,65360.700,56466.890,0.000
64314.450,64131.740,102117.400,101427.800,78670.550,72100.050,65039.530,56602.660,0.000
65188.380,64135.170,102526.500,101866.900,78727.300,73008.920,65609.870,57682.770,0.000
65344.800,64122.930,101965.000,101123.300,79767.170,72640.390,65585.510,57613.810,0.000
63998.880,63481.660,100334.800,99341.560,79691.430,70916.820,64393.340,55995.890,0.000
62409.140,62472.760,98958.520,98034.760,78020.630,69550.350,63047.720,54508.410,0.000
62049.570,61816.390,98713.090,97961.640,76409.020,69638.070,62683.610,54523.410,0.000
62656.420,61715.300,98919.660,98192.900,76314.300,70280.130,63056.210,55324.480,0.000
62733.430,61642.860,98384.900,97498.590,77104.540,69947.020,62989.480,55236.350,0.000
61626.960,61096.860,97015.720,95997.520,77052.840,68540.370,62004.240,53913.710,0.000
60300.070,60246.400,95830.230,94866.340,75683.950,67380.220,60876.440,52666.980,0.000
59918.000,59645.080,95513.320,94687.340,74287.340,67337.560,60495.270,52582.210,0.000
60313.140,59480.390,95562.340,94751.050,74086.010,67748.380,60694.590,53125.360,0.000
60339.330,59370.160,95070.000,94125.050,74650.970,67443.020,60583.570,53009.210,0.000
59453.930,58905.390,93937.880,92886.840,74599.850,66311.100,59772.960,51943.180,0.000
58349.020,58172.410,92904.510,91899.980,73475.320,65320.110,58819.660,50900.070,0.000
57922.660,57592.000,92495.790,91602.200,72254.950,65145.920,58405.810,50719.610,0.000
58103.800,57351.270,92379.970,91496.880,71952.970,65343.490,58451.200,51043.890,0.000
58059.610,57194.720,91904.530,90915.920,72308.750,65060.020,58310.030,50923.810,0.000
57354.060,56797.610,90971.480,89902.590,72249.600,64173.890,57663.390,50108.610,0.000
56452.860,56180.850,90083.800,89055.800,71351.290,63348.460,56879.100,49273.080,0.000
56012.540,55641.760,89620.630,88680.480,70312.740,63082.760,56452.410,49029.720,0.000
56022.970,55348.950,89377.350,88441.970,69940.160,63105.500,56362.840,49155.570,0.000
55912.630,55148.130,88912.460,87891.110,70105.200,62829.630,56172.860,48991.980,0.000
55349.480,54796.590,88138.950,87052.910,70016.140,62135.740,55637.820,48341.860,0.000
54621.500,54275.360,87373.540,86315.220,69302.310,61446.550,54983.720,47650.430,0.000
54180.760,53779.730,86872.540,85875.940,68431.700,61111.750,54552.400,47346.980,0.000
54057.980,53452.480,86529.300,85532.520,68018.290,60991.880,54361.900,47313.840,0.000
53892.890,53216.460,86072.270,85010.230,68029.940,60716.530,54139.360,47125.500,0.000
53439.270,52895.370,85422.590,84313.480,67908.950,60173.290,53702.080,46625.270,0.000
52844.800,52441.670,84748.700,83660.980,67339.290,59593.680,53162.310,46067.670,0.000
52400.520,51974.970,84213.160,83170.770,66606.070,59207.870,52736.380,45730.600,0.000
52166.230,51614.540,83785.070,82743.190,66156.720,58973.660,52466.090,45576.130,0.000
51950.780,51342.950,83327.840,82241.050,66030.550,58690.310,52209.720,45366.700,0.000
51585.380,51045.300,82777.550,81659.240,65870.570,58261.160,51844.130,44988.880,0.000
51106.760,50652.390,82185.630,81081.800,65413.310,57768.010,51392.410,44547.430,0.000
50670.710,50217.100,81633.270,80556.950,64795.010,57341.340,50966.440,44190.380,0.000
50356.040,49838.410,81146.440,80065.480,64326.760,57018.080,50629.910,43938.830,0.000
50100.520,49541.700,80690.270,79576.130,64095.880,56729.950,50342.890,43702.140,0.000
49798.150,49259.050,80213.050,79076.560,63900.730,56391.910,50025.730,43401.200,0.000
49412.320,48916.550,79687.980,78558.160,63533.780,55979.810,49643.950,43036.840,0.000
48996.360,48519.090,79136.340,78019.390,63020.710,55544.950,49232.300,42664.690,0.000
48630.460,48138.160,78614.880,77490.520,62551.760,55165.790,48855.870,42340.900,0.000
48343.360,47824.980,78159.340,77012.220,62241.100,54869.000,48546.120,42079.780,0.000
48080.900,47550.450,77732.180,76570.350,62011.400,54589.290,48263.900,41834.540,0.000
47756.700,47240.550,77253.220,76092.410,61707.050,54232.660,47936.920,41533.610,0.000
47351.530,46867.560,76701.840,75543.710,61277.070,53793.980,47546.070,41164.870,0.000
46948.570,46485.690,76158.560,74992.930,60821.180,53380.770,47158.020,40808.490,0.000
46640.050,46163.120,75707.770,74530.130,60464.680,53084.170,46847.820,40547.260,0.000
46406.370,45894.630,75318.530,74135.130,60213.560,52847.720,46597.090,40350.610,0.000
46128.680,45606.500,74873.340,73689.610,59950.570,52524.890,46303.950,40094.680,0.000
45737.620,45249.750,74323.050,73135.670,59572.870,52072.550,45910.530,39718.560,0.000
45312.140,44864.550,73761.780,72565.840,59115.660,51622.760,45490.290,39320.260,0.000
44985.260,44529.730,73306.940,72104.480,58712.300,51313.460,45158.880,39038.580,0.000
44765.040,44259.390,72936.740,71732.520,58431.460,51098.460,44917.930,38862.020,0.000
44516.270,43985.340,72514.770,71307.380,58191.850,50805.700,44651.260,38636.660,0.000
44139.450,43648.100,71975.580,70759.630,57861.950,50368.860,44279.380,38272.360,0.000
43707.520,43273.960,71416.090,70191.970,57425.210,49918.960,43866.140,37868.550,0.000
43372.940,42940.430,70966.180,69740.800,57005.660,49610.450,43535.500,37585.000,0.000
43162.200,42673.690,70611.090,69387.040,56711.090,49410.750,43304.150,37423.300,0.000
42934.990,42412.070,70208.160,68978.550,56489.090,49140.010,43055.110,37218.820,0.000
42572.260,42088.130,69681.030,68439.190,56191.260,48715.030,42695.260,36864.170,0.000
42141.280,41720.900,69126.630,67876.380,55769.210,48264.890,42283.970,36458.460,0.000
41806.010,41389.640,68682.630,67433.400,55340.490,47954.070,41952.250,36172.480,0.000
41604.030,41127.160,68339.260,67091.890,55034.600,47758.560,41724.920,36016.200,0.000
41397.130,40878.240,67955.100,66699.120,54821.750,47501.320,41488.130,35825.180,0.000
41057.920,40572.710,67448.750,66176.780,54549.510,47091.920,41142.380,35483.290,0.000
40639.040,40216.920,66905.790,65625.040,54144.440,46646.830,40735.950,35080.000,0.000
40297.810,39882.330,66458.500,65181.670,53709.510,46327.820,40397.030,34786.020,0.000
40084.000,39610.570,66107.650,64835.410,53387.220,46124.150,40161.000,34622.140,0.000
39877.830,39361.820,65727.820,64447.900,53171.340,45874.350,39928.100,34437.200,0.000
39554.380,39068.900,65239.530,63944.120,52915.950,45486.270,39600.580,34115.980,0.000
39151.200,38726.750,64714.030,63410.980,52532.150,45057.330,39213.080,33732.750,0.000
38813.380,38397.630,64272.010,62974.120,52106.090,44737.280,38881.600,33444.890,0.000
38594.090,38124.820,63918.660,62625.880,51779.210,44524.660,38643.750,33277.000,0.000
38385.880,37875.770,63541.480,62240.820,51557.910,44275.500,38410.950,33091.960,0.000
38072.270,37590.320,63067.640,61750.870,51309.950,43904.910,38093.670,32782.410,0.000
37684.580,37261.620,62559.460,61234.160,50944.640,43497.500,37720.460,32413.390,0.000
37353.290,36941.860,62123.640,60802.240,50531.630,43184.490,37393.500,32126.770,0.000
37128.610,36669.860,61765.930,60448.270,50202.220,42966.000,37149.110,31947.120,0.000
36917.190,36419.570,61388.490,60062.370,49971.330,42716.200,36911.910,31754.010,0.000
36615.630,36139.290,60927.820,59586.280,49723.390,42358.480,36602.630,31452.350,0.000
36248.450,35821.600,60437.580,59088.540,49372.110,41965.660,36244.870,31099.090,0.000
35927.090,35510.180,60009.620,58664.660,48974.050,41654.250,35927.580,30818.740,0.000
