EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,155042.500,707575.300,-750000.100,87600.880,750000.100,-750000.100,0.000
750000.100,750000.100,236464.700,594974.300,-368957.500,750000.100,750000.100,-108818.300,0.000
587885.100,750000.100,419432.100,648855.100,-27344.140,750000.100,750000.100,269390.700,0.000
506453.200,750000.100,640856.400,730518.800,-5158.962,750000.100,750000.100,46484.210,0.000
520372.000,750000.100,573222.300,750000.100,-55761.880,750000.100,750000.100,5117.834,0.000
474252.000,480194.200,652454.100,750000.100,-241413.500,702632.800,750000.100,-198100.500,0.000
444889.500,179205.600,717184.300,750000.100,-229426.700,750000.100,750000.100,-750000.100,0.000
750000.100,544743.000,750000.100,750000.100,-364267.300,750000.100,750000.100,-524060.000,0.000
750000.100,750000.100,750000.100,750000.100,-750000.100,750000.100,750000.100,-180026.400,0.000
750000.100,750000.100,750000.100,750000.100,-750000.100,750000.100,750000.100,22052.230,0.000
750000.100,750000.100,750000.100,750000.100,-301497.500,750000.100,750000.100,124206.300,0.000
750000.100,750000.100,750000.100,750000.100,-608027.400,750000.100,750000.100,173292.900,0.000
750000.100,750000.100,750000.100,750000.100,-699382.000,750000.100,750000.100,196729.300,0.000
750000.100,750000.100,750000.100,750000.100,-573834.500,711155.600,683186.600,206637.600,0.000
746248.900,735660.700,750000.100,750000.100,-479487.500,616535.400,583390.200,207916.900,0.000
640539.600,631845.800,750000.100,750000.100,-405992.700,539240.400,503666.800,203481.800,0.000
554054.700,546785.500,750000.100,750000.100,-346233.100,474046.600,438086.300,195744.200,0.000
481722.200,475563.300,750000.100,750000.100,-296633.200,418117.500,383051.300,186208.800,0.000
420845.400,415551.000,750000.100,750000.100,-255919.200,370223.700,336639.700,175373.700,0.000
369642.700,365183.900,750000.100,750000.100,-221991.000,329185.900,297233.300,164065.500,0.000
333873.800,329979.100,750000.100,750000.100,-197925.300,300386.500,269614.200,156477.300,0.000
319767.500,316060.900,750000.100,750000.100,-187124.300,290382.500,259279.700,157202.100,0.000
311067.700,307556.100,750000.100,750000.100,-179727.400,284870.100,253267.400,159453.900,0.000
303110.300,299803.900,750000.100,750000.100,-172823.600,279752.100,247855.600,161290.500,0.000
295738.400,292611.500,750000.100,750000.100,-166441.400,274905.900,242854.500,162712.000,0.000
288883.600,285873.300,750000.100,750000.100,-160690.000,270226.100,238037.000,163716.800,0.000
282571.000,279672.800,750000.100,750000.100,-155259.700,265847.600,233644.000,164530.600,0.000
276696.900,273912.900,750000.100,750000.100,-150164.700,261713.700,229604.400,165133.400,0.000
271247.700,268596.500,750000.100,750000.100,-145311.700,257869.900,225961.100,165600.300,0.000
266153.100,263617.500,750000.100,750000.100,-140786.100,254223.400,222561.800,165888.700,0.000
261382.500,258905.600,750000.100,750000.100,-136674.300,250692.500,219252.400,165983.300,0.000
256941.000,254520.000,750000.100,750000.100,-132760.700,247368.300,216212.500,166020.200,0.000
252794.800,250444.000,750000.100,750000.100,-129028.300,244242.400,213416.800,165994.400,0.000
248903.000,246648.700,750000.100,750000.100,-125439.300,241329.700,210891.000,165922.000,0.000
245220.200,243048.700,750000.100,750000.100,-122070.600,238542.300,208508.900,165752.100,0.000
241756.900,239622.400,750000.100,750000.100,-118994.500,235830.700,206151.800,165484.800,0.000
238540.300,236447.000,750000.100,750000.100,-116005.000,233304.800,204013.400,165245.900,0.000
235508.300,233465.900,750000.100,750000.100,-113115.600,230921.300,202053.300,164996.600,0.000
232639.100,230666.700,750000.100,750000.100,-110315.200,228683.300,200284.000,164733.600,0.000
229913.100,227996.700,750000.100,750000.100,-107678.500,226534.300,198600.900,164408.800,0.000
227325.800,225427.500,750000.100,750000.100,-105299.900,224415.500,196869.300,164001.300,0.000
224915.300,223039.400,750000.100,750000.100,-102940.400,222449.700,195326.500,163657.200,0.000
222638.500,220793.500,750000.100,750000.100,-100630.100,220596.300,193926.300,163329.200,0.000
220476.400,218688.300,750000.100,750000.100,-98365.470,218873.100,192675.200,163013.200,0.000
218415.700,216679.000,750000.100,750000.100,-96209.960,217221.200,191490.700,162671.600,0.000
216449.800,214722.200,750000.100,750000.100,-94254.540,215572.200,190250.700,162271.900,0.000
214619.100,212901.800,750000.100,750000.100,-92317.450,214037.600,189139.000,161929.200,0.000
212871.800,211182.200,750000.100,750000.100,-90420.860,212587.500,188127.200,161601.800,0.000
211208.500,209571.000,750000.100,750000.100,-88538.840,211242.000,187244.500,161299.900,0.000
209614.500,208017.000,750000.100,750000.100,-86742.480,209942.900,186402.700,160977.100,0.000
208103.300,206502.300,750000.100,750000.100,-85119.910,208642.700,185492.400,160609.900,0.000
206694.000,205101.400,750000.100,750000.100,-83487.080,207439.000,184696.500,160301.400,0.000
205344.500,203770.200,750000.100,750000.100,-81868.990,206304.200,183986.000,160015.500,0.000
204056.500,202520.000,750000.100,750000.100,-80258.680,205256.800,183380.900,159754.500,0.000
202815.100,201312.400,750000.100,750000.100,-78720.970,204235.600,182794.300,159472.900,0.000
201622.000,200115.700,750000.100,750000.100,-77341.240,203190.600,182117.400,159142.800,0.000
200530.400,199024.200,750000.100,750000.100,-75918.770,202246.800,181565.100,158893.500,0.000
199476.600,197978.300,750000.100,750000.100,-74532.430,201336.100,181057.500,158643.700,0.000
198468.400,197001.000,750000.100,750000.100,-73138.660,200502.400,180644.000,158417.800,0.000
197496.700,196058.300,750000.100,750000.100,-71800.690,199695.300,180249.200,158182.000,0.000
196565.100,195123.900,750000.100,750000.100,-70588.600,198869.600,179780.200,157912.200,0.000
195707.500,194264.500,750000.100,750000.100,-69346.560,198116.800,179399.800,157704.200,0.000
194875.800,193437.000,750000.100,750000.100,-68125.440,197397.900,179055.300,157498.500,0.000
194085.400,192679.900,750000.100,750000.100,-66870.970,196760.900,178815.600,157331.700,0.000
193309.400,191926.700,750000.100,750000.100,-65681.680,196117.000,178569.900,157138.300,0.000
192572.200,191185.800,750000.100,750000.100,-64596.460,195459.000,178255.600,156923.800,0.000
191891.300,190502.700,750000.100,750000.100,-63486.110,194861.700,178009.500,156757.500,0.000
191226.300,189840.600,750000.100,750000.100,-62398.380,194284.200,177786.000,156591.300,0.000
190604.700,189246.800,750000.100,750000.100,-61263.270,193785.500,177667.600,156470.300,0.000
189997.500,188659.800,750000.100,750000.100,-60173.310,193294.200,177554.700,156336.100,0.000
189403.700,188055.300,750000.100,750000.100,-59213.350,192758.100,177333.300,156148.800,0.000
188866.300,187510.100,750000.100,750000.100,-58209.940,192276.200,177188.400,156019.300,0.000
188344.200,186989.100,750000.100,750000.100,-57209.290,191818.900,177078.000,155905.900,0.000
187847.600,186520.500,750000.100,750000.100,-56170.030,191427.700,177054.300,155826.000,0.000
187348.900,186040.600,750000.100,750000.100,-55184.310,191026.700,177012.700,155709.600,0.000
